Cell;Datetime;Data_Volume;PRB_Available_DL;PRB_Utilization_Percent
cell0001;2019-01-01 00:00:00;982962.3587402344;75.0;0.0617
cell0001;2019-01-01 01:00:00;811515.369372559;75.0;0.06
cell0001;2019-01-01 02:00:00;1072098.9198242188;75.0;0.06
cell0001;2019-01-01 03:00:00;829620.0208740234;75.0;0.05
cell0001;2019-01-01 04:00:00;277115.34345703124;75.0;0.05
cell0001;2019-01-01 05:00:00;218997.3028564453;75.0;0.06
cell0001;2019-01-01 06:00:00;2780.6596923828124;75.0;0.05
cell0001;2019-01-01 07:00:00;179703.33944091847;75.0;0.0567
cell0001;2019-01-01 08:00:00;214123.2216796875;75.0;0.05
cell0001;2019-01-01 09:00:00;370763.2952392578;75.0;0.0633
cell0001;2019-01-01 10:00:00;587321.37109375;75.0;0.0817
cell0001;2019-01-01 11:00:00;336187.866210938;75.0;0.055
cell0001;2019-01-01 12:00:00;64002.13834228516;75.0;0.05
cell0001;2019-01-01 13:00:00;394246.7642944341;75.0;0.0667
cell0001;2019-01-01 14:00:00;1003486.3304077173;75.0;0.1367
cell0001;2019-01-01 15:00:00;345033.46171875;75.0;0.0567
cell0001;2019-01-01 16:00:00;563346.9850585943;75.0;0.0633
cell0001;2019-01-01 17:00:00;143472.8517578125;75.0;0.055
cell0001;2019-01-01 18:00:00;26073.153662109376;75.0;0.05
cell0001;2019-01-01 19:00:00;346105.64454345754;75.0;0.0583
cell0001;2019-01-01 20:00:00;453953.15255127003;75.0;0.0533
cell0001;2019-01-01 21:00:00;159566.5878540044;75.0;0.05
cell0001;2019-01-01 22:00:00;15337.62080078125;75.0;0.05
cell0001;2019-01-01 23:00:00;5050.9013671875;75.0;0.05
cell0001;2019-01-02 00:00:00;739.4371215820313;75.0;0.05
cell0001;2019-01-02 01:00:00;2719.45458984375;75.0;0.05
cell0001;2019-01-02 02:00:00;962.9267578125;75.0;0.05
cell0001;2019-01-02 03:00:00;2682.35546875;75.0;0.05
cell0001;2019-01-02 04:00:00;7439.03125;75.0;0.05
cell0001;2019-01-02 05:00:00;7191.2799072265625;75.0;0.05
cell0001;2019-01-02 06:00:00;27859.60546875;75.0;0.05
cell0001;2019-01-02 07:00:00;110797.1677734375;75.0;0.05
cell0001;2019-01-02 08:00:00;27849.65363769531;75.0;0.05
cell0001;2019-01-02 09:00:00;157342.49542236378;75.0;0.05
cell0001;2019-01-02 10:00:00;275547.55133056693;75.0;0.05
cell0001;2019-01-02 11:00:00;354315.78985595756;75.0;0.065
cell0001;2019-01-02 12:00:00;100984.08666992188;75.0;0.05
cell0001;2019-01-02 13:00:00;137073.99532470753;75.0;0.0517
cell0001;2019-01-02 14:00:00;377177.74255371146;75.0;0.0567
cell0001;2019-01-02 15:00:00;130849.908984375;75.0;0.05
cell0001;2019-01-02 16:00:00;196535.18463134815;75.0;0.0533
cell0001;2019-01-02 17:00:00;309841.4721679693;75.0;0.0583
cell0001;2019-01-02 18:00:00;107102.2434326172;75.0;0.0517
cell0001;2019-01-02 19:00:00;158414.2974975591;75.0;0.055
cell0001;2019-01-02 20:00:00;556070.8389404297;75.0;0.0767
cell0001;2019-01-02 21:00:00;158746.84765625;75.0;0.0567
